user,bot
😪😪😪😪,🍫😐
😪😪😪,😐😐💔
سلام,از چی سوختی !
😐😒,اون محموداباده
😪😪😪,اهوم
kc acc fake dare?,چطوری مدیریت میکنن لنتیا😐
🚶‍♂🥀,دس خودش نی درکش کن 😐😂
😹😐,kskholi?
خودا😐😹,ی چی میخندی الن ت دیقن؟/:
سلام,بع ط
😂😂,Khoda ro chikar dari😂😂😂
🚶‍♀,بابات نمیره سره کار🚶‍♂
• عملیات پاکسازی به دلیل وجود نداشتن هیچ پیامی برای پاک شدن ، متوقف شد !,نع باو گزاشتم سرد خونع سالم بمونع
😐,😂😐اوک
🚶‍♀اصن برو مگ میگم چرا,😑
Ajab😐,ت دمای گرم تازه تره🚶‍♀
بزا بریم,بازم دلیل نمیشع\nعا اگع برات مهم نی پس بیخ_
/////////////:,🚶‍♂
- بِ دَرَک!,اهاع
Ajab😐,"جالبع\""-!"
رل نبود,میمردی اینو زودتر میگفتی\nخب واس ت رع ولی بخایم درکل بگیم صدای ظرف شستن بیشتره:|
/:,سلان
🚶‍♀من کلا هَپی فیسم میخوایی گریه کنم/:,جون 🚶‍♂😐
Ajab😐,مگع ساندویچع😂😂😂
رجب,سلام
🚶‍♀میتونم بخاطرت جنگ ب پا کنم ب دختر بودنم نگا نکن فق ت الماس تاج اونی اونم شده حاشیه غصم🚶‍♀,😂😐بخورش
- یادت نرع روزا اولتو,کجام خنده داره؟:/
🚶🏼‍♀,Rjb/:
😒😐,Ajab😐
کراش برنید رومنم🚶‍♀,یادت نره احمق گه
😐😐,Mrz
🚶‍♀هیچی ب ذوق دوست دارم روز اولو اغوش روز اخر نیس,نمد منم الان فمیدم اون دوتا رل داره این روشون ریپ زده اون فک کرده بااینم هس🤔😂
‌‌‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌⁪⁬⁮⁮⁮⁮ ⁪⁬⁮⁮⁮⁮ ⁪⁬⁮⁮⁮⁮⁪⁬⁮⁮⁮⁮ ⁪⁬⁮⁮⁮‌‌‌ ‌ ‌ ‌ ‌‌‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,__
😒😐,Rjb/:
اصن ب درک🚶‍♀,😂🤭
شبتون بخیر🌼,😐تو جونت
👨🏽‍🦽🥀,نخند🤨🤨
😹////:,😂😂😂
من بی ت ی شیر مریضم نمیشه اشگ نریزم,شَوخیدم!
😐😒,شیک
سلام دوستان صبح بخیر,Rrrrrjb/:😹
صلام طول شد 😐,یپ
درد نخند,اقا نمیشه خوو
🌙🚶🏻‍♀️,Khodt
دلم میخاد دخالت کنم😐👩🏿‍🦼,😹😹
- اما من میدونی همه نبودم /:,درسته/:
😐😐,😂😂😂😂😂واییی
🦼🦼,بکن
- بِ دَرَک!,کجا😐🚶‍♂
Ajab😐,دلت گو زیاد میخاد\nبهتر بهش اهمیت ندی/:🤷
پروفاتون لاو طوریه بعد توی گپید؟\nمن اگ داشتم کسیو برا هروز برنامه میچیدم کجاباهم خاطره بسازیم,😂😂😂
:/,اصمت چیه🤔
سلام,Rjb///:
=|,چیخ
👨🏽‍🦽🥀,👍ایول
